pitcher,name,ht_in
669952,Mitch White,75
674444,Steven Cruz,79
805326,Tyler Schweitzer,72
690544,Bailey Horn,74
686560,Gavin Collyer,73
489119,Wade Miley,73
647315,Zach Pop,76
543507,Trevor May,77
683155,Joey Estes,74
680736,Justin Wrobleski,73
650895,Diego Castillo,75
663362,Matt Waldron,74
693686,Spencer Miles,75
664350,Sixto Sánchez,72
641703,Brent Honeywell,74
445926,Jesse Chavez,73
676755,Isaac Mattson,74
687924,Julian Aguiar,75
607755,Andrew Vasquez,78
674072,Tommy Henry,75
691251,Andry Lara,76
572143,Burch Smith,76
680723,Drew Rom,73
668943,Ryan Miller,72
688297,Chris Roycroft,80
453268,Daniel Bard,76
689546,Nick Davila,75
641312,Shaun Anderson,78
592229,Dylan Covey,73
643256,Adam Cimber,75
425794,Adam Wainwright,79
696131,Mason Black,75
670766,Darren McCaughan,73
592789,Noah Syndergaard,78
570257,Joely Rodríguez,73
676680,Tom Cosgrove,74
668820,Max Kranick,75
676596,Josh Fleming,74
