Feature,Gain,Cover,Frequency,stand,spec
pfx_z_diff,0.0091897115057594,0.0272140051962664,0.0304668304668305,R,B2
az_diff,0.0083195222014202,0.0243608751518994,0.0308490308490308,R,B2
ax_diff,0.00822687995630452,0.033414871028522,0.0253890253890254,R,B2
pfx_x_diff,0.00816540397020792,0.035057959024029,0.0255801255801256,R,B2
sax,0.00640314017360241,0.0295606649350038,0.0275457275457275,R,B2
vaa,0.338138910412259,0.17289364047438,0.127844859129162,R,B3
haa,0.130226412293486,0.154339779292196,0.0976216611781925,R,B3
az,0.102730712970766,0.0428167984550939,0.0584339553604098,R,B3
release_speed,0.0770868679410387,0.0841182247745702,0.0603366264178558,R,B3
release_pos_z,0.0635638798189127,0.0457873441580597,0.0612147822905232,R,B3
release_pos_x,0.0525244356185264,0.0522078705722904,0.0643980973289426,R,B3
ax,0.0315395153361529,0.0118380317685785,0.0428832784485913,R,B3
pitcher_q,0.0313176468394009,0.0427885391746067,0.0490669593852909,R,B3
pfx_x,0.03067665267172,0.0166447252512432,0.0387120380534211,R,B3
speed_diff,0.0297668973661108,0.0756339297689581,0.0447493596780095,R,B3
pfx_z,0.0276659423281413,0.0169109549870863,0.0287596048298573,R,B3
arm_angle,0.0103553631196179,0.0129557149017473,0.0375777533845591,R,B3
release_extension,0.00999588992185208,0.013681318481053,0.0246981339187706,R,B3
release_spin_rate,0.00883444224879039,0.0424377195168442,0.0408708379070618,R,B3
ax_diff,0.00832370313863381,0.0348713793183769,0.0239297475301866,R,B3
rubber_x_in_rel_own,0.00780946603268082,0.0138276595685305,0.0402122210025613,R,B3
axis_diff,0.00735199666529649,0.0259593613458081,0.0298572996706915,R,B3
cax,0.00710603655339209,0.0455285447810204,0.0291620929381632,R,B3
pfx_z_diff,0.00658768827212852,0.0214528517460333,0.0246981339187706,R,B3
az_diff,0.0063323282756393,0.0206019600975,0.0274423710208562,R,B3
pfx_x_diff,0.00629552560356521,0.0331406413380246,0.0231613611416026,R,B3
sax,0.00576968657188854,0.0195630102279994,0.0243688254665203,R,B3
vaa,0.341620045506653,0.179962462120119,0.130057803468208,R,NP
haa,0.122649583210947,0.151601980939902,0.0930360583539774,R,NP
az,0.101326846705887,0.0399382061136803,0.0602257087806221,R,NP
release_speed,0.0811487403892647,0.0753213681745525,0.066859344894027,R,NP
release_pos_z,0.0653038625592754,0.0457628905464069,0.0668868703550785,R,NP
release_pos_x,0.053549757056174,0.0510258769192215,0.0664739884393064,R,NP
ax,0.0365300916344229,0.0124230798568278,0.0453344343517754,R,NP
pfx_x,0.0336168344848584,0.0197393322009729,0.0439581612992018,R,NP
speed_diff,0.0327446864995042,0.0758776421350591,0.0548857693366364,R,NP
pfx_z,0.0296778640881992,0.0205238632424515,0.0332782824112304,R,NP
arm_angle,0.0140165638858045,0.0177383563619376,0.0458574181117534,R,NP
release_extension,0.0122255198867863,0.0117011116617841,0.029121937792458,R,NP
release_spin_rate,0.0113755592057465,0.0476413381926769,0.0460500963391137,R,NP
axis_diff,0.0103147893644573,0.0350256382995069,0.037214423341591,R,NP
cax,0.0099541745921597,0.0571985638132616,0.0343242499311863,R,NP
pfx_z_diff,0.00955279862554375,0.0286567134784012,0.0312138728323699,R,NP
pfx_x_diff,0.00943453723315606,0.0365707184662379,0.0255986787778695,R,NP
ax_diff,0.00937926389798109,0.0387652323022182,0.029176988714561,R,NP
az_diff,0.00857151951514052,0.0285577911038638,0.0319020093586568,R,NP
sax,0.00700696165803838,0.0259678340709177,0.0285439031103771,R,NP
