player_name,pitch_type,n,whiff,exp_whiff,wresid,axis,as_gap,ivb_gap,spin_sim
"Abbott, Andrew",CH,169,0.361,0.258,0.103,15.5,-0.047,-7.3,0.708
"Hill, Jaden",CH,45,0.444,0.343,0.102,29.7,0.103,-9.9,0.224
"Suarez, José",CH,138,0.384,0.283,0.101,17.6,-0.08,-12.3,0.448
"Beeks, Jalen",CH,74,0.351,0.251,0.1,21.8,-0.017,-5,0.765
"Cruz, Fernando",FS,208,0.524,0.425,0.099,34.8,-0.442,-15.2,0
"Williamson, Brandon",CH,59,0.39,0.296,0.094,27.5,0.003,-5.6,0.686
"Kelly, Kevin",CH,95,0.263,0.174,0.09,16.6,-0.064,-4.9,0.575
"Johnson, Ryan",FS,103,0.34,0.25,0.09,21.7,-0.097,-5.6,0.307
"Dobnak, Randy",CH,55,0.273,0.185,0.088,29.1,-0.223,-5.3,0.005
"Yates, Kirby",FS,77,0.351,0.265,0.086,28.9,-0.002,-14.8,0.659
"Duran, Jhoan",FS,145,0.29,0.207,0.083,5.5,-0.092,-9.6,0.421
"Holmes, Clay",CH,72,0.306,0.223,0.082,27.5,-0.04,-3.7,0.581
"Woodruff, Brandon",CH,68,0.382,0.301,0.082,22.9,-0.019,-8,0.743
"Adams, Travis",CH,78,0.385,0.302,0.082,19.4,0.041,-7.4,0.694
"deGrom, Jacob",CH,109,0.431,0.352,0.079,16,-0.061,-13.8,0.604
"Silseth, Chase",FS,94,0.372,0.293,0.079,36.7,-0.159,-12.1,0.042
"King, John",CH,62,0.306,0.23,0.077,11.4,0.114,-2.7,0.251
"Pérez, Eury",CH,67,0.388,0.313,0.075,17.1,0.018,-6.6,0.834
"Gausman, Kevin",FS,386,0.386,0.312,0.074,18.3,-0.177,-12.5,0.037
"De Los Santos, Enyel",CH,106,0.377,0.306,0.072,6.7,0.054,-5.8,0.726
"Imanaga, Shota",FS,362,0.39,0.318,0.072,17.6,-0.056,-10.5,0.618
"Weaver, Luke",CH,135,0.385,0.314,0.071,14.8,-0.159,-11.9,0.071
"Cabrera, Edward",CH,210,0.29,0.22,0.071,15.1,-0.011,-6.8,0.878
"Ginn, J.T.",CH,180,0.322,0.252,0.071,12.8,-0.101,-3.8,0.328
"Sugano, Tomoyuki",FS,152,0.283,0.213,0.07,7.9,-0.074,-5.7,0.556
"Brazobán, Huascar",CH,159,0.302,0.232,0.07,9,-0.074,-5.4,0.55
"Latz, Jacob",CH,68,0.412,0.345,0.066,23.9,-0.007,-7.3,0.748
"Bednar, David",FS,174,0.351,0.285,0.066,6.5,-0.282,-14.8,0
"Sulser, Cole",CH,144,0.354,0.29,0.064,22.4,-0.184,-14.7,0.026
"Kremer, Dean",FS,93,0.409,0.344,0.064,9.3,-0.066,-2.6,0.614
"Agnos, Zach",FS,63,0.349,0.285,0.064,27.6,-0.097,-9.9,0.267
"Jax, Griffin",CH,175,0.411,0.348,0.063,16.3,-0.066,-10,0.564
"Martinez, Nick",CH,220,0.327,0.266,0.061,43.1,-0.084,-9.4,0.2
"Soriano, José",FS,179,0.369,0.308,0.061,11.3,-0.003,-7.2,0.916
"Mize, Casey",FS,173,0.335,0.278,0.057,20.9,-0.05,-11.4,0.623
"Bennett, Jake",CH,131,0.351,0.295,0.057,15.6,-0.036,-2.9,0.773
"Fedde, Erick",CH,71,0.254,0.199,0.055,21.8,-0.135,-3.6,0.126
"Seymour, Ian",CH,194,0.361,0.306,0.055,22.6,0.015,-7.6,0.755
"Kelly, Merrill",CH,259,0.305,0.251,0.054,15.7,-0.058,-12.1,0.63
"Blackburn, Paul",CH,78,0.295,0.241,0.054,8.9,-0.02,-2.9,0.915
"Sale, Chris",CH,111,0.315,0.262,0.053,16.2,0.053,-8.9,0.661
"Yarbrough, Ryan",CH,90,0.311,0.261,0.051,31,-0.053,-8.8,0.47
"Jones, Jared",CH,43,0.349,0.299,0.05,16.1,0.01,-12,0.866
"Quintana, Jose",CH,63,0.286,0.236,0.049,28.1,0.109,-8.9,0.206
"Sánchez, Cristopher",CH,438,0.434,0.385,0.049,14.8,-0.068,-4.8,0.561
"Bradley, Taj",FS,184,0.348,0.299,0.049,14.7,-0.162,-7.1,0.065
"Ureña, Walbert",CH,249,0.361,0.312,0.049,12.2,0.037,-4.2,0.805
"Rodón, Carlos",CH,66,0.409,0.361,0.048,7.6,-0.21,-10.7,0.012
"Rasmussen, Drew",CH,105,0.371,0.325,0.047,39.7,-0.188,-7.9,0.014
"Javier, Cristian",CH,40,0.3,0.254,0.046,44.4,-0.076,-7.8,0.216
"Romero, JoJo",CH,56,0.304,0.258,0.045,14.6,0.091,-3,0.39
"Avila, Luinder",CH,51,0.353,0.308,0.045,34.4,0.113,-6.5,0.156
"McDonald, Trevor",CH,86,0.314,0.269,0.045,4.5,0.007,-0.1,0.979
"Henderson, Logan",CH,117,0.342,0.297,0.045,37.8,-0.052,-8.7,0.379
"Messick, Parker",CH,243,0.346,0.301,0.045,29.2,-0.159,-12.6,0.053
"Griffin, Foster",CH,87,0.345,0.301,0.044,17.6,-0.019,-1.9,0.823
"Sproat, Brandon",CH,61,0.311,0.267,0.044,25.2,0.073,-6,0.425
"Aldegheri, Sam",CH,105,0.333,0.289,0.044,53.6,-0.011,-4.9,0.245
