pitcher,season,pitch_type,arm,relx,relz,ht_in,p_throws,ht_ft,ax
680730,2026,SL,48.5587209302326,1.98412790697674,5.89604651162791,76,L,6.33333333333333,1.98412790697674
680730,2025,SL,50.243956043956,2.00137362637363,5.95576923076923,76,L,6.33333333333333,2.00137362637363
680730,2024,CU,51.8217592592592,1.94949074074074,5.97333333333334,76,L,6.33333333333333,1.94949074074074
680730,2025,FS,57.4333333333334,1.68705128205128,6.18166666666667,76,L,6.33333333333333,1.68705128205128
680732,2026,SL,38.4506172839506,-2.29135802469136,6.13858024691358,78,R,6.5,2.29135802469136
680732,2026,KC,42.743870967742,-2.11058064516129,6.21638709677419,78,R,6.5,2.11058064516129
680732,2024,SL,38.7642857142857,-2.47261904761905,6.03,78,R,6.5,2.47261904761905
680732,2025,CH,37.9836363636364,-2.46454545454546,6.10127272727273,78,R,6.5,2.46454545454546
680732,2025,SL,40.0461254612546,-2.59380073800738,6.17206642066421,78,R,6.5,2.59380073800738
680732,2025,KC,44.1452261306533,-2.34934673366834,6.27371859296483,78,R,6.5,2.34934673366834
680735,2025,SL,50.5949152542373,1.5535593220339,6.30033898305085,76,L,6.33333333333333,1.5535593220339
680736,2025,SL,36.966,2.33846666666667,5.4736,73,L,6.08333333333333,2.33846666666667
680736,2026,SL,35.4135021097046,2.30594936708861,5.55822784810126,73,L,6.08333333333333,2.30594936708861
680736,2024,SL,40.0125,2.071,5.6325,73,L,6.08333333333333,2.071
680736,2025,CU,41.0595238095238,2.25,5.59809523809524,73,L,6.08333333333333,2.25
680739,2023,SL,44.8534246575342,-1.29958904109589,5.87602739726027,77,R,6.41666666666667,1.29958904109589
680739,2023,CH,45.36875,-1.25765625,5.95234375,77,R,6.41666666666667,1.25765625
680742,2026,SL,42.4535714285714,-2.62303571428571,6.21392857142857,78,R,6.5,2.62303571428571
680742,2025,SL,41.6018518518518,-2.59731481481482,6.12703703703704,78,R,6.5,2.59731481481482
680742,2026,CH,40.4191489361702,-2.68191489361702,6.09276595744681,78,R,6.5,2.68191489361702
680744,2026,SL,42.8717391304348,-2.03108695652174,5.85891304347826,75,R,6.25,2.03108695652174
680755,2025,SL,49.0590909090909,0.275844155844156,6.46733766233766,76,R,6.33333333333333,-0.275844155844156
680755,2026,SL,48.5165,0.4902,6.55695,76,R,6.33333333333333,-0.4902
680755,2025,CU,49.3057692307692,0.260096153846154,6.45346153846154,76,R,6.33333333333333,-0.260096153846154
680755,2026,CU,49.9207317073171,0.523780487804878,6.56463414634146,76,R,6.33333333333333,-0.523780487804878
680767,2025,CH,35.4169642857143,-2.22866071428571,5.14446428571428,72,R,6,2.22866071428571
680767,2026,SL,43.5565217391305,-2.20594202898551,5.2868115942029,72,R,6,2.20594202898551
680767,2025,SL,44.7046511627907,-1.83627906976744,5.38279069767442,72,R,6,1.83627906976744
680767,2024,SL,40.3273684210526,-2.27536842105263,5.13073684210526,72,R,6,2.27536842105263
680767,2026,CH,38.0666666666667,-2.32377777777778,5.18244444444444,72,R,6,2.32377777777778
680767,2024,CH,31.6237623762376,-2.5309900990099,4.93386138613861,72,R,6,2.5309900990099
680802,2026,ST,41.3943661971831,-2.31338028169014,5.91901408450704,76,R,6.33333333333333,2.31338028169014
680880,2024,FS,44.3434782608696,-1.99608695652174,6.02782608695652,78,R,6.5,1.99608695652174
680880,2025,FS,38.8135802469136,-2.00197530864197,5.92740740740741,78,R,6.5,2.00197530864197
680885,2024,CU,33.730081300813,-2.60845528455285,5.3160162601626,73,R,6.08333333333333,2.60845528455285
680885,2024,FS,32.9038167938931,-2.54045801526718,5.32190839694656,73,R,6.08333333333333,2.54045801526718
680885,2025,FS,36.6151260504202,-2.12008403361345,5.27781512605042,73,R,6.08333333333333,2.12008403361345
680885,2025,CU,35.8569444444444,-2.14013888888889,5.25847222222222,73,R,6.08333333333333,2.14013888888889
680885,2025,SL,37.1842105263158,-2.09532894736842,5.39598684210526,73,R,6.08333333333333,2.09532894736842
680885,2024,SL,35.6410138248848,-2.53101382488479,5.47423963133641,73,R,6.08333333333333,2.53101382488479
680897,2024,SL,44.4582677165354,-2.09007874015748,5.84874015748032,75,R,6.25,2.09007874015748
681006,2025,ST,17.9,1.62088235294118,4.84558823529412,74,L,6.16666666666667,1.62088235294118
681006,2025,CU,30.4859649122807,1.25473684210526,5.32368421052632,74,L,6.16666666666667,1.25473684210526
681035,2026,ST,27.9907692307692,-3.23292307692307,5.19176923076923,76,R,6.33333333333333,3.23292307692307
681035,2024,ST,29.3292307692308,-3.00861538461538,5.10046153846154,76,R,6.33333333333333,3.00861538461538
681035,2026,CU,32.4906976744186,-3.03255813953488,5.28767441860465,76,R,6.33333333333333,3.03255813953488
681035,2024,FS,33.8272727272727,-2.83931818181818,5.25090909090909,76,R,6.33333333333333,2.83931818181818
681035,2024,SL,33.2710144927536,-2.87724637681159,5.25608695652174,76,R,6.33333333333333,2.87724637681159
681168,2025,SL,38.9392857142857,-3.23446428571429,5.86857142857143,73,R,6.08333333333333,3.23446428571429
681190,2026,SL,32.1770833333333,-1.96583333333333,5.88125,72,R,6,1.96583333333333
681190,2026,CH,31.775,-2.0145,5.85425,72,R,6,2.0145
681190,2024,CU,37.7747899159664,-2.23151260504202,5.96394957983193,72,R,6,2.23151260504202
681190,2025,ST,31.7491935483871,-2.04177419354839,5.7858870967742,72,R,6,2.04177419354839
681190,2024,ST,34.3474226804124,-2.12969072164948,5.80371134020619,72,R,6,2.12969072164948
681190,2025,CU,38.087969924812,-1.93924812030075,6.01315789473684,72,R,6,1.93924812030075
681190,2026,CU,35.1436170212766,-1.92340425531915,5.96531914893617,72,R,6,1.92340425531915
681190,2026,ST,33.622,-1.9284,5.8894,72,R,6,1.9284
681190,2025,CH,32.6796610169492,-1.99372881355932,5.86661016949153,72,R,6,1.99372881355932
681190,2024,CH,37.0145833333333,-2.05072916666667,5.94166666666667,72,R,6,2.05072916666667
681217,2026,ST,30.2781818181818,-2.284,5.69963636363637,72,R,6,2.284
681217,2023,ST,36.5161290322581,-1.84532258064516,5.9591935483871,72,R,6,1.84532258064516
