pitcher,season,n_ch,est_ch,true_ch,n_ff,est_ff,true_ff,player_name,name,pass,truly,nsw,axis_gap,arm,velo_sep,resid,gap_band
691587,2025,131,0.949528723503959,0.991,859,0.901625127960962,0.962,"Pérez, Eury",Eury Pérez,TRUE,TRUE,36,18.6556823765672,26.25,8.3379252360626,7.12057403871474,10-20
605182,2024,64,1.03722364782922,0.969,111,0.934837224748021,0.914,"Clevinger, Mike",Mike Clevinger,TRUE,TRUE,36,18.9095094031157,42.3055555555556,7.64031531531531,-6.1764636018979,10-20
675911,2026,71,0.909452917164662,0.865,329,0.962452858560494,0.988,"Strider, Spencer",Spencer Strider,TRUE,TRUE,25,18.9112326578103,41.58,9.29621884498481,20.0136616741132,10-20
665871,2024,117,0.972991554632889,0.963,410,0.928816687186686,0.908,"Assad, Javier",Javier Assad,TRUE,TRUE,48,18.9176352210334,57.5145833333333,7.72121951219512,-13.8221005529499,10-20
663567,2026,400,0.924223024168554,0.978,519,0.955107135791578,0.955,"Lambert, Peter",Peter Lambert,TRUE,TRUE,213,18.9277972515847,47.2253521126761,6.96115498385302,8.08459336348783,10-20
592351,2023,92,0.941437183268789,0.994,410,0.919079631564142,0.955,"Gray, Jon",Jon Gray,TRUE,TRUE,149,19.0375634395836,31.0328859060403,6.94106120007974,-4.17690833888334,10-20
542881,2025,795,0.974782171647104,0.945,892,0.999786280252251,0.992,"Anderson, Tyler",Tyler Anderson,TRUE,TRUE,413,19.1477674467656,59.1917675544794,10.5533977024723,1.70820087747112,10-20
608337,2026,191,1.05,0.993,229,0.960616010403712,0.992,"Giolito, Lucas",Lucas Giolito,TRUE,TRUE,86,19.2072500261688,54.5139534883721,11.765405707322,-9.70459881936545,10-20
700249,2025,296,0.989151615561447,0.746,733,0.956743910674768,0.947,"Povich, Cade",Cade Povich,TRUE,FALSE,128,19.280278380056,39.3484375,8.43693298090041,7.8792260600354,10-20
676684,2026,55,0.938434340001119,0.892,214,0.925008538773497,0.879,"Vest, Will",Will Vest,TRUE,TRUE,22,19.5078376823671,49.1727272727273,6.3499575191164,4.64710527974783,10-20
