pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,nz_rate,axis_gap
621111,breaking,ST,"Buehler, Walker",204,0.222399925341837,30.3921568627451,3.13600134979415,42.0892156862746,43.5172060357589,-0.322833333333333,79.4117647058823,79.4117647058823,TRUE,0.688888888888889,0.198040369695914,TRUE,0.890469587125617,69,79.4,-0.32
472610,breaking,ST,"García, Luis",235,5.24699384822056,36.5957446808511,3.67596895733157,41.9988950276243,45.3127865110819,-0.292459574468085,78.2978723404255,78.2978723404255,TRUE,0.681481481481482,0.189826420994729,TRUE,0.0361781291318087,68,78.3,-0.29
663423,breaking,ST,"Thornton, Trent",328,-1.79552037073335,23.4756097560976,16.7127550367097,26.2848210922787,42.9907963540946,-0.260942073170732,77.7439024390244,77.7439024390244,TRUE,0.674074074074074,0.181612472293545,FALSE,,67,77.7,-0.26
621112,breaking,ST,"Blackburn, Paul",263,-2.95461750630783,26.6159695817491,3.71265086788492,44.7989843971631,48.0045999486175,-0.243384030418251,69.2015209125475,69.2015209125475,TRUE,0.666666666666667,0.173398523592361,FALSE,,67,69.2,-0.24
596001,breaking,ST,"Junis, Jakob",633,4.85437190102331,27.4881516587678,2.01473878626672,29.3829383886256,28.8341417159373,-0.263766192733017,68.5624012638232,68.5624012638232,TRUE,0.659259259259259,0.165184574891176,TRUE,0.034028001615689,66,68.6,-0.26
676428,breaking,ST,"Hurter, Brant",247,4.99742558529647,40.080971659919,2.32366463204128,29.4689636827919,29.0423247703917,-0.265574898785425,67.6113360323886,67.6113360323886,TRUE,0.651851851851852,0.156970626189992,TRUE,0.0314102978645314,65,67.6,-0.27
676508,breaking,ST,"Casparius, Ben",233,0.00886940358594961,24.0343347639485,2.10635088959586,44.8067632850242,46.2926829268293,-0.319107296137339,64.3776824034335,64.3776824034335,TRUE,0.644444444444445,0.148756677488808,TRUE,1,64,64.4,-0.32
607067,breaking,ST,"Rea, Colin",441,0.282774729820595,25.6235827664399,1.76667070159551,32.3566893424037,31.9292119546699,-0.269804988662132,61.2244897959184,61.2244897959184,TRUE,0.637037037037037,0.140542728787623,TRUE,0.497013042419985,64,61.2,-0.27
621107,breaking,ST,"Eflin, Zach",264,8.39814795304653,28.4090909090909,2.1285415870357,27.3863535676504,26.9522362985248,-0.265537878787879,59.8484848484849,59.8484848484849,TRUE,0.62962962962963,0.132328780086439,TRUE,0.015756900310197,63,59.8,-0.27
500779,breaking,SV,"Quintana, Jose",227,0.728957176965073,27.7533039647577,2.08505501905682,41.952,43.0887113858659,-0.312647577092511,41.8502202643172,41.8502202643172,FALSE,0.625,0.127195062148199,TRUE,0.174489073113678,62,41.9,-0.31
650633,breaking,ST,"King, Michael",548,4.13657076323821,30.8394160583942,3.52801136293886,27.4274596191869,30.6035356062379,-0.295914233576642,57.846715328467,57.846715328467,TRUE,0.622222222222222,0.124114831385254,TRUE,0.0300042809585818,62,57.8,-0.3
676440,breaking,ST,"Bibee, Tanner",352,1.09537303027087,26.7045454545455,5.23363656033269,49.4454545454546,53.0808412348581,-0.307244318181818,45.7386363636363,45.7386363636363,TRUE,0.614814814814815,0.11590088268407,TRUE,0.105809509163659,61,45.7,-0.31
