pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,as_gap,exp_whiff
606965,2023,"Devenski, Chris",185,19.4356330288606,44.2021621621622,10.81911001911,-1.21505637253122,-1.67704761152612,350,35.978835978836,54,83.2982857142857,1620.9711815562,1.26942857142857,0.914,0.952,Chris Devenski,-0.038,37.1938923513672
670046,2023,"Rosenberg, Kenny",120,14.819405958346,46.5975,10.0032051282051,-1.24319438883216,-1.25349440322987,204,30,58.8235294117647,80.6269607843137,1544.93137254902,-0.259313725490195,0.99,0.996,Kenny Rosenberg,-0.006,31.2431943888322
663465,2024,"Allard, Kolby",64,26.7065365050557,46.5765625,8.13675847457627,-1.25811967787966,0.398831184695515,106,23.4375,60.377358490566,81.9962264150943,1591.47169811321,1.72169811320755,0.996,0.922,Kolby Allard,0.074,24.6956196778797
542881,2024,"Anderson, Tyler",556,21.1350281984083,62.2784172661871,10.3740373415553,-1.27038565440217,-0.566774774598686,1082,39.3884892086331,51.3863216266174,78.9349353049908,1885.53696857671,1.54547134935305,0.968,0.981,Tyler Anderson,-0.013,40.6588748630353
641582,2021,"Foster, Matt",83,19.0247383976841,57.5698795180723,9.40974928159026,-1.55980928940463,-0.835930032529226,164,28.9156626506024,50.609756097561,84.3292682926829,1725.90243902439,-3.67134146341463,0.964,0.978,Matt Foster,-0.014,30.475471940007
605483,2024,"Snell, Blake",166,24.2922065012344,53.6481927710844,10.4038338494049,-1.65574934931889,-0.872563788852201,311,47.5903614457831,53.3762057877814,85.4710610932476,1815.95498392283,0.787781350482315,0.982,0.937,Blake Snell,0.045,49.246110795102
676440,2026,"Bibee, Tanner",129,8.85342542019532,59.4937984496124,12.7667002171955,-1.72769204034533,0.353881623867241,283,33.3333333333333,45.583038869258,81.0547703180212,1876.02826855124,0.103533568904594,0.929,0.9,Tanner Bibee,0.029,35.0610253736787
542881,2022,"Anderson, Tyler",454,17.5237163659144,49.9687224669604,11.5752922862273,-1.88251838706341,-1.99375327869695,815,36.980306345733,56.0736196319019,79.0311656441718,1847.92392638037,1.7121472392638,0.958,0.99,Tyler Anderson,-0.032,38.8628247327965
686613,2024,"Brown, Hunter",150,21.6069264246493,50.2853333333333,7.55736300692384,-2.03385566450274,-0.800086971763543,362,29.6052631578947,41.9889502762431,88.3527624309392,1462.63276836158,0.806077348066299,0.955,0.915,Hunter Brown,0.04,31.6391188223975
663465,2021,"Allard, Kolby",149,21.6501307989838,45.4718120805369,7.81601889540821,-2.04146170098401,-1.05808028316107,346,24.8322147651007,43.0635838150289,83.606936416185,1606.07514450867,-0.990462427745664,0.99,0.949,Kolby Allard,0.041,26.8736764660847
605483,2025,"Snell, Blake",131,25.5579136463161,52.7267175572519,9.71159862322792,-2.04705861696728,-1.30732569334351,243,43.5114503816794,53.9094650205761,85.4703703703704,1793.12757201646,3.17654320987654,0.985,0.92,Blake Snell,0.065,45.5585089986467
607644,2021,"Means, John",374,22.2131775827957,50.0727272727273,9.45165794568071,-2.15736386473381,-2.97103309401612,634,30.0518134715026,60.8832807570978,83.3921135646688,2255.42744479495,0.553627760252367,0.981,0.972,John Means,0.009,32.2091773362364
666142,2022,"Ragans, Cole",130,18.6290635150382,47.2830769230769,9.8652510511996,-2.25427455681147,-2.94294549040173,235,36.1538461538462,55.3191489361702,82.1872340425532,2210.40425531915,2.31744680851064,0.974,0.992,Cole Ragans,-0.018,38.4081207106576
664353,2022,"Urquidy, José",227,27.9454516778669,51.1409691629956,7.35658675957737,-2.26545147630014,-0.651229491064882,391,27.3127753303965,58.0562659846547,86.0925831202046,2006.39130434783,-0.346547314578005,0.992,0.991,José Urquidy,0.001,29.5782268066966
666745,2023,"Brito, Jhony",252,12.220666895904,51.4361111111111,6.94998837749884,-2.33506432678298,-0.0134416639617365,419,28.1746031746032,60.1431980906921,88.7918854415275,1672.91169451074,0.536992840095464,0.985,0.918,Jhony Brito,0.067,30.5096675013862
