PitcherId,season,nsw,axis,velo_sep,rz,rx,w,w_tj,name,slot,eff_ch,n_ch,eff_ff,eff_gap,matched,eff_floor,eff_close,hi_slot,core,corex,bb
693687,2024,48,23.9603024831897,4.82591760488507,5.92463083333333,1.992395625,-15.6527711069317,-17.246541869995,"Potthoff, Kyle",31.577064663388,0.876564591272415,111,0.839499713558835,0.0370648777135804,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
694512,2024,47,37.4382443742498,7.30767668303324,6.01425255319149,1.87141978723404,2.72834932155984,7.63118240079512,"Phillips, Riley",35.0794335998049,0.680685487069699,91,0.997802287692877,-0.317116800623178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
694781,2024,63,29.0711224829777,6.34836137821565,5.66035682539683,1.08715444444444,5.3220389409623,3.84744542835491,"Mercado, Logan",41.4563308146495,0.977889321337896,106,0.98707562225454,-0.0091863009166433,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
694879,2024,79,40.9333921812416,8.24592815280734,5.83883379746836,1.67349430379747,-12.709111727913,-11.6950257630616,"Crowder, Jack",34.2357768471541,0.879517322906217,147,0.93152784193708,-0.0520105190308626,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
694978,2024,62,55.0542950426178,7.55634681807094,5.49533016129032,2.70779774193548,-2.19423283568616,1.64765534447963,"Vespi, Ben",16.368486906121,0.798452696206443,150,0.879781782275939,-0.0813290860694957,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
695022,2025,96,34.5663114798939,8.3008499046031,5.7407759375,1.94299916666667,0.076403539412195,0.727607424412519,"Pallares, Kenji",28.1759213358742,0.925986558383853,198,0.980901794939414,-0.0549152365555614,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695255,2025,48,30.6959804497717,7.7299972545662,5.49104,1.64812729166667,-3.64699271855829,-2.72864862651651,"Swygert, Sam",25.639279457606,0.953962990106592,110,0.989640889767473,-0.0356778996608806,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695401,2025,243,46.1690471347737,5.61101754227754,6.30833341563786,1.75871242798354,1.67131854707671,-0.822960726112439,"Wade, Crawford",42.4427551142649,0.941546296994017,487,0.970756069063341,-0.0292097720693245,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
695545,2025,218,32.6031236280463,10.8034660129576,4.93617110091743,3.21064885321101,11.6329882484834,5.47474125615381,"Elliott, Hunter",4.20702509234745,0.992732290389617,447,0.985574069185161,0.00715822120445553,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695609,2024,59,20.8641710026216,7.15938662845991,6.36296762711864,1.48948491525424,-13.3209454864849,-14.8536429461158,"Jewett, Luke",48.149868648632,0.972519953150445,131,0.991393890692552,-0.0188739375421073,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
